area_name,"less_hs_1970","hs_1970","some_college_1970","college_higher_1970","less_hs_1980","hs_1980","some_college_1980","college_higher_1980","less_hs_1990","hs_1990","some_college_1990","college_higher_1990","less_hs_2000","hs_2000","some_college_2000","college_higher_2000","less_hs_2006_2010","hs_2006_2010","some_college_2006_2010","college_higher_2006_2010","less_hs_2007_2011","hs_2007_2011","some_college_2007_2011","college_higher_2007_2011","less_hs_2008_2012","hs_2008_2012","some_college_2008_2012","college_higher_2008_2012"
Alabama,58.7,25.9,7.5,7.8,43.5,31.8,12.5,12.2,33.1,29.4,21.7,15.7,24.7,30.4,25.9,19.0,18.6,31.8,27.9,21.7,18.1,31.4,28.5,22.0,17.4,31.3,29.0,22.3
Alaska,33.3,37.7,14.9,14.1,17.5,38.9,22.6,21.1,13.4,28.7,34.9,23.0,11.7,27.9,35.7,24.7,9.3,27.4,36.3,27.0,8.6,27.2,36.9,27.2,8.4,27.1,37.0,27.5
Arizona,41.9,31.6,13.9,12.6,27.6,34.3,20.6,17.4,21.3,26.1,32.2,20.3,19.0,24.3,33.1,23.5,15.0,25.1,33.5,26.3,14.8,24.7,34.1,26.4,14.6,24.4,34.4,26.6
Arkansas,60.1,25.6,7.6,6.7,44.5,33.2,11.5,10.8,33.7,32.7,20.3,13.3,24.7,34.1,24.5,16.7,18.1,35.3,27.5,19.1,17.3,35.2,27.9,19.6,16.7,35.1,28.4,19.8
California,37.4,32.8,16.4,13.4,26.5,31.4,22.4,19.6,23.8,22.3,30.5,23.4,23.2,20.1,30.0,26.6,19.3,21.5,29.1,30.1,19.2,21.1,29.5,30.2,19.0,20.7,29.9,30.5
Colorado,36.1,34.4,14.6,14.9,21.4,34.6,21.1,23.0,15.6,26.5,31.0,27.0,13.1,23.2,31.0,32.7,10.7,23.3,30.1,35.9,10.3,22.9,30.5,36.3,10.1,22.4,30.9,36.7
Connecticut,44.0,31.7,10.7,13.7,29.7,34.4,15.3,20.7,20.8,29.5,22.5,27.2,16.0,28.5,24.1,31.4,11.6,28.6,24.6,35.2,11.4,28.1,24.7,35.7,11.0,27.9,24.9,36.2
Delaware,45.4,31.7,9.8,13.1,31.4,36.2,15.0,17.5,22.5,32.7,23.4,21.4,17.4,31.4,26.1,25.0,13.0,32.2,27.2,27.7,12.6,31.7,27.7,28.0,12.3,31.6,27.5,28.5
District of Columbia,44.8,26.2,11.2,17.8,32.9,25.5,14.1,27.5,26.9,21.2,18.6,33.3,22.2,20.6,18.2,39.1,13.5,19.9,17.4,49.2,12.9,19.5,17.1,50.5,12.5,19.1,17.3,51.2
Florida,47.4,30.7,11.6,10.3,33.3,35.0,16.8,14.9,25.6,30.1,26.0,18.3,20.1,28.7,28.8,22.3,14.7,30.3,29.1,25.9,14.5,30.1,29.5,26.0,14.2,29.8,29.8,26.2
Georgia,59.4,22.4,9.0,9.2,43.6,28.5,13.3,14.6,29.1,29.6,22.0,19.3,21.4,28.7,25.6,24.3,16.5,29.6,26.7,27.2,16.0,29.4,27.1,27.5,15.6,28.9,27.7,27.8
Hawaii,38.1,35.9,12.0,14.0,26.2,35.1,18.4,20.3,19.9,28.7,28.5,22.9,15.4,28.5,29.9,26.2,10.2,29.0,31.4,29.4,9.9,28.7,32.0,29.5,9.7,28.4,32.3,29.6
Idaho,40.5,34.6,15.0,10.0,26.3,36.5,21.4,15.8,20.3,30.4,31.7,17.7,15.3,28.5,34.6,21.7,11.8,28.8,35.1,24.3,11.5,28.4,35.5,24.6,11.4,28.0,35.9,24.7
Illinois,47.4,31.9,10.4,10.3,33.5,35.1,15.2,16.2,23.8,30.0,25.2,21.0,18.6,27.7,27.6,26.1,13.8,27.9,28.1,30.3,13.4,27.6,28.4,30.7,13.0,27.2,28.7,31.1
Indiana,47.1,36.1,8.5,8.3,33.6,41.7,12.1,12.5,24.4,38.2,21.9,15.6,17.9,37.2,25.5,19.4,13.8,36.2,27.6,22.4,13.4,35.8,28.1,22.7,13.0,35.4,28.6,23.0
Iowa,41.0,38.7,11.1,9.1,28.5,42.9,14.7,13.9,19.9,38.5,24.7,16.9,13.9,36.1,28.8,21.2,10.1,34.4,31.0,24.5,9.7,33.8,31.6,24.9,9.3,33.1,32.2,25.3
Kansas,40.1,35.8,12.7,11.4,26.7,39.2,17.1,17.0,18.7,32.8,27.3,21.1,14.0,29.8,30.4,25.8,10.8,28.9,31.0,29.3,10.5,28.4,31.4,29.7,10.3,27.8,31.9,30.0
Kentucky,61.5,24.1,7.2,7.2,46.9,31.3,10.7,11.1,35.4,31.8,19.2,13.6,25.9,33.6,23.4,17.1,19.0,34.4,26.2,20.3,18.3,34.3,26.7,20.6,17.6,34.0,27.4,21.0
Louisiana,57.8,24.7,8.5,9.0,42.3,30.9,12.8,13.9,31.7,31.7,20.5,16.1,25.2,32.4,23.7,18.7,19.0,34.8,25.3,20.9,18.4,34.6,25.9,21.1,17.8,34.3,26.5,21.4
